,Q,R,S,T
0,0.0,-2.5867614585762344,-0.978475393290851,2.6082860652853834
1,0.0,1.085138985958837,2.112647682874105,1.0275086969152682
2,0.0,-1.8120686575631662,0.7784986425269382,2.5905673000901044
3,0.0,1.6637117420748215,2.6147645792428604,0.9510528371680389
4,0.0,1.4920286267256944,-0.1971282040163509,-0.6891568307420453
5,0.0,-1.5876070426670037,-1.1989918873638525,0.38861515530315116
6,0.0,-3.660017171226632,-3.757724247769861,-0.0977070765432293
7,0.0,1.0441612103975446,-0.27954585071259297,0.6762929388898624
8,0.0,-0.1352365740993149,-0.005998878019357834,2.129237696079957
9,0.0,-0.0016787211828739323,0.9550375096796815,1.9567162308625554
10,0.0,-1.7703433466096805,-0.5594631100906649,1.2108802365190157
11,0.0,-5.1526426410732435,-4.138437022143292,2.0142056189299513
12,1.0,-2.083823269685919,-3.1274188212415863,-0.04359555155566719
13,0.0,-3.516013851531152,-1.7041914620774392,1.8118223894537127
14,0.0,-2.669201970987217,-1.508577330110512,3.160624640876705
15,0.0,-2.179466542148587,-3.00600993737943,0.17345660476915725
16,0.0,-2.5364927931632764,0.7595828325412244,3.2960756257045007
17,1.0,-0.8886446717730586,1.840772220857718,2.7294168926307765
18,0.0,-0.07173715802834468,0.9190974903416274,0.990834648369972
19,0.0,-1.0280342534624136,1.333490552961678,3.3615248064240917
20,0.0,-0.1047824301907575,-2.3341376315716165,-0.22935520138085896
21,0.0,-3.0033526681152214,-3.477419516950677,-0.4740668488354558
22,0.0,-3.0638058288858674,-4.121053434406953,-1.0572476055210855
23,0.0,-1.6261870028998042,-2.114119069731443,1.5120679331683613
24,0.0,0.29567046945442044,-1.4136392130885205,-1.709309682542941
25,0.0,-0.2705812824080812,0.5147314864106862,0.7853127688187674
26,0.0,-0.30702203047354704,-1.5880550380797784,-1.2810330076062315
27,1.0,-0.08020805010327536,1.2848795814114589,1.3650876315147342
28,0.0,-1.1499300979398248,-2.434298810171944,0.715631287767881
29,0.0,-0.2564210718354042,1.1324576590581632,1.3888787308935675
30,0.0,-1.6609342882125717,-0.40361926019856265,2.257315028014009
31,0.0,-0.9398067020984514,-1.3144641359305749,0.6253425661678765
32,0.0,-1.1834115642367216,-0.06422074077855577,2.119190823458166
33,0.0,-3.695472747784817,-3.1779736429633685,0.5174991048214483
34,0.0,-3.1828542035698515,-2.495616657771773,0.6872375457980784
35,1.0,-0.33170343894392484,0.18387583359259962,1.5155792725365245
36,1.0,-1.5133068444210296,2.197243556933837,4.710550401354867
37,0.0,-0.5835343930639985,1.3787248337769311,2.9622592268409296
38,0.0,-1.3672918575445803,-0.9453311026201099,1.4219607549244704
39,0.0,0.351129070415086,0.7590385565858722,1.4079094861707862
40,0.0,0.8812507908242491,3.099324568764396,3.2180737779401474
41,1.0,-1.9388474217885157,0.006373215273932864,2.9452206370624485
42,1.0,-4.668460790547743,-2.3279815150369334,3.34047927551081
43,0.0,-0.5920322770332656,-0.5169866591058646,1.075045617927401
44,0.0,-1.5014008545045603,-1.2219450691280596,1.2794557853765007
45,0.0,-1.2200570969768079,-1.315385438024352,-0.09532834104754406
46,0.0,-2.462665425122011,-1.1177412439379477,1.344924181184063
47,0.0,-2.148509553128515,-1.7805795236477375,1.3679300294807777
48,0.0,-0.7765265641800358,-0.06248827368933285,1.714038290490703
49,0.0,-1.2565402485658017,-2.0995612577845764,0.15697899078122535
50,0.0,-0.6347534815904872,-0.7950578612687687,1.8396956203217185
51,0.0,-0.038323914505602685,-0.553254592641301,0.48506932186430174
52,0.0,-1.4032269815630813,-2.748308930700793,-1.3450819491377117
53,0.0,-1.4308525017456093,-1.7291518589896842,1.7017006427559251
54,0.0,-0.21772539335485885,-2.1627757100947833,0.054949683260075544
55,0.0,-2.1266146651081725,-0.6706174223059476,1.455997242802225
56,0.0,-1.4343525910306196,0.5810169886799756,2.0153695797105953
57,0.0,0.2564255576030259,1.6715278178791575,1.4151022602761316
58,0.0,-0.9623941414714585,0.9080608791895921,1.8704550206610506
59,0.0,-1.3312567604983232,-0.9402628757943301,1.390993884703993
60,0.0,-0.194884571865374,0.18321638663539308,1.378100958500767
61,1.0,0.4631801276461929,2.7821078512565154,3.3189277236103223
62,0.0,-4.245801416275338,-4.067828660144012,0.17797275613132602
63,1.0,1.5495197732427362,1.067026932957026,0.51750715971429
64,1.0,-2.862401109784339,-1.7232801627545038,3.139120947029835
65,0.0,-1.9368442684115328,-1.4116893141381746,1.5251549542733582
66,1.0,0.3477826558002135,-1.9077412317084206,-0.2555238875086341
67,0.0,-2.001732646077082,-2.0391406983541622,-0.037408052277080106
68,1.0,-3.4746887911122446,-2.025885247017879,3.4488035440943654
69,0.0,0.7939862523212078,-0.26260078893969974,-1.0565870412609075
70,0.0,-3.5057299725655553,-3.65889576153074,0.8468342110348153
71,0.0,-2.8990594524938587,-2.5902621000962784,1.3087973523975802
72,1.0,-2.676600477041049,-0.865015832049763,2.811584644991286
73,0.0,-1.4358345611661614,-2.807587311657378,-0.3717527504912166
74,0.0,-0.6138625611693312,1.9804068662804954,2.594269427449827
75,0.0,-2.1629273629550676,-3.044694093965151,0.1182332689899166
76,0.0,-0.30938165370385995,-0.07234077466184852,0.23704087904201143
77,0.0,-1.1984820000893412,0.3647647718979443,2.5632467719872856
78,0.0,-3.2286283246482625,-1.0291679039967065,4.1994604206515564
79,0.0,-2.051968396791436,-1.5020235974462417,0.5499447993451945
80,0.0,-0.1400803664269532,1.142516692639365,2.282597059066318
81,0.0,-3.2840527085699356,-1.9289164159074041,1.3551362926625314
82,0.0,0.9734983679270902,2.1745612054639123,1.201062837536822
83,1.0,0.6090309976360269,2.3798802068359914,2.7708492091999646
84,0.0,-2.4924986637395325,-1.578169341087455,2.9143293226520774
85,0.0,-1.858482136748819,-0.5934894976347067,1.2649926391141122
86,0.0,0.2510486451232081,1.4252467472259822,2.174198102102774
87,0.0,-5.44941153190657,-5.606574706990427,0.8428368249161426
88,0.0,-0.19500278162743834,-0.46697177008568636,-0.271968988458248
89,1.0,1.1967699175182887,1.438999140135934,0.24222922261764546
90,1.0,0.036572528114649616,0.331029797517026,2.2944572694023764
91,0.0,1.1568393874370115,2.4135246407434297,3.256685253306418
92,0.0,0.11389371000767523,1.4128525799451284,2.298958869937453
93,1.0,-3.1588382581684096,-2.955550813164205,0.2032874450042046
94,0.0,-3.69565674327217,-0.45491581748059806,4.240740925791572
95,1.0,-2.459793549971884,-1.791142064242499,2.668651485729385
96,0.0,-3.119809689753985,-2.5630096271903295,0.5568000625636556
97,1.0,-1.1464523564444773,2.5721085257741225,3.7185608822185996
98,0.0,-1.7325392759428402,-2.195778073458888,-0.4632387975160479
99,0.0,-1.5052220661072886,-1.1597733675032746,1.345448698604014
